,tweet,hate_speech,offensive_language,neither,class
60,"""<user>: i probably wouldn<sym> t mind school as much if we didn<sym> t have to deal with bitch ass teachers"". retweet",0,1,1,1
61,"""<user>: i'm a fucking fag they said""",0,1,0,1
62,"""<user>: females think dating a pussy is cute now? <url>"" how does doing this stuff make him a pussy?",0,1,0,1
63,"""<user>: -simplyaddictedtoguys <url>"" woof woof hot scally lad",0,0,1,2
64,"""<user>: have ya ever asked your bitch for other bitches - kanye voice"" yes",0,1,0,1
65,"""<user>: how u gone bring ur side bitch to a game where you know ya gf friends at ?! <sym> <sym> <sym> <sym> "" i swear!!!!!",0,1,0,1
66,"""<user>: <url>"" woof woof and hot soles",0,1,1,2
67,"""<user>: lemmie eat a oreo &amp; do these dishes."" one oreo? lol",0,1,1,2
68,"""<user>: <user> <user> bitch fuck u <url>"" maybe you'll get better. just <url>",0,1,0,1
69,"""<user>: fuck red malone man bitch ass niggah"" could you please use complete sentences?",1,1,0,1
70,"""<user>: why the eggplant emoji doe?""y he say she looked like scream lmao",0,0,1,2
71,"""<user>: hennessey venom gt <sym>  <url>"" that's one sexy bitch",0,1,0,1
72,"""<user>: him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",0,1,0,1
73,"""<user>: #eaglesnation and every #eagles need to see that pic i just posted because that bitch just said the most racist shit""",0,1,0,1
74,"""<user>: yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life <url>""
<user>",1,1,0,1
75,"""<user>: baby monkey bathtime <url>""
awwwwe! this is soooo adorable!",0,1,1,2
76,"""<user>: <sym> <sym> <sym> <sym>  i ain't shit ."" damn skippy lol",0,1,0,1
77,"""<user>: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""no bs must b &gt;30%chance",1,1,0,1
78,"""<user>: <user> <url>"" 0 rings 0 mvps 0 bitches lol",0,1,0,1
79,"""<user>: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1,1,0,1
80,"""<user>: the facts on tattoos...tattoo <url>"" he's a pussy with not tattooing them nipples",0,1,1,1
81,"""<user>: <sym> <sym> <sym>  rt <user> bitches be wanting to act like niggas so bad <sym> <sym> <sym>  that shit aint cuteeeee"" but niggas act like bitches..",0,1,0,1
82,"""<user>: get worshiping bitch! <url>"" woof woof",0,1,0,1
83,"""<user>: wow. rt <user> i'm lost. are those buttcheek piercings? <url>"" yeah she's a hoe",1,1,0,1
84,"""<user>: ok, sis."" she'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",0,1,0,1
85,"""<user>: <user> <user> queer"" gaywad",1,1,0,0
87,"""<user>: <user> faggot read my tweets after dat k"" it wasn't even funny lol",0,1,0,1
88,"""<user>: this bitch was so ungrateful <url>"" fr ..... lulwhore",0,1,0,1
89,"""<user>: i been kidnapped yo bitch""",0,1,0,1
90,"""<user>: <user> alsarabsss"" hes a beaner smh you can tell hes a mexican",1,0,0,0
91,"""<user>: <user> happy birthday nigs"" thanks yo",1,1,0,1
92,"""<user>: when ur teacher tells u that u have homework https://t.co/rkk5vawij1"" this bitch need to go!!!",1,1,0,1
93,"""<user>: ""<user>: <user> that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul.. <url>",1,1,0,1
94,"""<user>: what would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",0,1,0,1
95,"""<user>: leafs better win this damn game so i can go riot and shit #earlychristmas"" you better start looting my nig",1,1,0,1
96,"""<user>: going back to school sucks more dick than the hoes who attend it.""",0,1,0,1
97,"""<user>: on my way to fuck yo bitch <url>"" me as a 9 year old",0,1,0,1
98,"""<user>: <user> how come you never bring me food"" i dont have a car retard",0,1,0,1
99,"""<user>: if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople",0,1,0,1
100,"""<user>: how bout them cowboys!!!!"" shutup pussy",1,1,0,1
101,"""<user>: lmaooooooooooo this nigga <user> <url>"" &lt;bitch want likes for some depressing shit..foh",0,1,0,1
102,"""<user>: <user> girl you know i was spitting that g shit to you &amp; you was going lbvs""bitch plz",0,1,0,1
103,"""<user>: let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again",0,1,0,1
104,"""<user>: harlem shake is just an excuse to go full retard for 30 seconds.""",0,1,1,1
105,"""<user>: amen miley <sym>  <url>""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",0,1,0,1
106,"""<user>: having one loyal female is wayyyyy better than having hoes , idc <sym> """,0,1,0,1
107,"""<user>: pussy licking pussy.... meow meow #stopwhitepeople2014 <sym>  https://t.co/keegdcjs5k<sym> """"""""

<sym> ",0,1,0,1
108,"""<user>: check out our 12th man. #cowboysnation"" even with all those faggot ny fans in the stands",0,1,0,1
109,"""<user>: what happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",0,1,0,1
110,"""<user>: <user> im the bitch okay nudes pat <sym> <sym> <sym> "" wow",0,1,0,1
111,"""<user>: <user> you're fucking gay, blacklisted hoe"" holding out for #tehgodclan anyway <url>",1,0,0,0
112,"""<user>: the fuck be wrong with these bitches?"" nobody knows",0,1,0,1
113,"""<user>: yall shut up:p"" make me bitch",0,1,0,1
114,"""<user>: i hate a ""i'm pregnant"" type of bitch.""",1,1,0,1
115,"""<user>: got bitches in the dm but i don't ever read'em"" which is y your top 3",0,1,0,1
116,"""<user>: baseball season for the win. #yankees"" this is where the love started",0,0,1,2
117,"""<user>: little stupid as bitch i don't fuck with yoooooouuuu..""",0,1,0,1
118,"""<user>: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol",0,1,0,1
119,"""<user>: i'm an early bird and i'm a night owl, so i'm wise and have worms.""",0,0,1,2
120,"""<user>: overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day.",0,1,1,2
121,"""<user>: pit bulls photographed as lovely fairy tale creatures <url><sym> 

they *are* fairy tale creatures.",0,0,1,2
122,"""<user>: <user> aw."" ...fag, don't tweet ""aw"" to me lol",0,1,0,1
123,"""<user>: as long as the lakers trash from now on, i could careless. and that's real."". cc: <user> hahaha",0,0,1,2
124,"""<user>: <user> i didn't say anything tho"" kiss me then faggot",0,1,0,1
125,"""<user>: this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut <url>"" <sym>  yup",0,0,1,2
126,"""<user>: i could go for a fat ass bitch on my lap"" same",0,1,0,1
127,"""<user>: 17 missed calls!!!! <sym> <sym> ""das yo p.o bitch twitter finna be screamn #freemoneymelle",0,1,0,1
128,"""<user>: ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao <sym> <sym> <sym> <sym> ",0,1,0,1
129,"""<user>: <sym> <user>: 3 | amo los pies <url><sym> "" fuck yeah",0,1,0,1
130,"""<user>: these hoes be thinking meat won't slap they ass <sym> <sym> "" ainna bruh",0,1,0,1
131,"""<user>: yall bitches wit no edges be doing the most talking <sym> <sym> <sym> ""<sym> <sym> <sym> ",0,1,0,1
132,"""<user>: yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",0,1,0,1
133,"""<user>: i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck",0,1,0,1
134,"""<user>: if she kiss u with her eyes open watch that bitch!""lmfao",0,1,0,1
135,"""<user>: you a woulda coulda shoulda ass hoe <sym> <sym> """,0,1,0,1
136,"""<user>: happy bday bitch ass nigga <user>""preciate that bitch roll up!",0,1,0,1
137,"""<user>: <user> <user> used to send that bitch up""",0,1,0,1
138,"""<user>: ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses<sym> <sym> """,0,1,0,1
139,"""<user>: <user> nigga you know we hacky sack hoes."" ...nah, i throw no look passes lmao",1,1,0,1
141,"""<user>: glad i'm getting outta atlanta. nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",1,1,0,1
142,"""<user>: this isn't ghetto.....it's smart https://t.co/mpazq3jswf"" i'm doing this idc",0,1,1,2
143,"""<user>: i would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",0,1,1,1
144,"""<user>: being single isn't an excuse to be a hoe."" <user>",0,1,0,1
145,"""<user>: white boy power bitch"" black power bitch",1,1,0,1
146,"""<user>: lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dudes have no chill.",0,1,0,1
147,"""<user>: <user> bitch where u been"" around the world and back. where you been?",0,1,0,1
148,"""<user>: <user> if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off <sym> <sym> <sym> <sym> "" *by <user> *",0,1,0,1
149,"""<user>: #oomf is soooo cute. but he probably has hoes on him a lot.""",0,1,1,1
150,"""<user>: in every cartoon theirs alway a <user> saving these hoes lmao. <url>"" lmao damn captain saveahoe",0,1,0,1
151,"""<user>: who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking <url>"" hot sox and legs",0,1,1,2
152,"""<user>: i wish i was a bitch like my brother keezy <sym> "" ooooow i bet you do",0,1,0,1
153,"""<user>: if you dressed up as a cat for halloween you are basic."" ...or a pussy",0,1,0,1
154,"""<user>: can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" <user> get on it katie&lt;3",0,1,0,1
155,"""<user>: stop being scared to choke her during sex u bitch ass niggas. she<sym> ll like it."". says the guy who hits women out of bed. foh",0,1,0,1
156,"""<user>: <user> ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",0,1,0,1
157,"""<user>: <user> oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",0,1,0,1
158,"""<user>: you're not a man if you refer to every girl as a bitch""",0,1,0,1
159,"""<user>: lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? my nigga!!!",0,1,0,1
160,"""<user>: peel up peel up bring it back up rewind back where i'm from they move shaq from the line"" ooooow who tf said that trash!!?",0,1,1,2
161,"""<user>: <user> io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",0,1,1,1
162,"""<user>: <user> naw it's my old tape. new cover . my upcoming mixtape is #kingofthehill"" yeah i'm waiting on that hoe mayne!",0,1,0,1
163,"""<user>: ol dirty foot ass bitches.."" this was too funny to me.",0,1,0,1
164,"""<user>: <user> that's where i get my yellow flags for being amazing <sym> <sym> "" hell yeah niggy",0,1,0,1
165,"""<user>: don't got time for bitches to be actin iffy.""",0,1,0,1
166,"""<user> #ucfpinkparty come on stay alive knights nation!!!!"" this is still the early bird special. #comeatmeut",0,0,1,2
167,"""<user>: these hoes ain't loyal ; no they ain't <url>""

smfh &amp; wonder why nobody decent wants them",0,1,1,1
168,"""<user>: bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!",0,1,0,1
169,"""<user>: dry pussy bitches always blame it on the condom<sym> ""<sym> <sym> <sym> <sym> ",0,1,0,1
170,"""<user>: shut yo bitch ass up! https://t.co/iemn1u0gm5"" <sym> <sym> ",0,1,0,1
171,"""<user>: gucci mane in jail and dropping mixtapes every month and you hoes can't even text back""",0,1,0,1
172,"""<user>: you love these hoes more then money wats wrong these niggas""",0,1,0,1
173,"""<user>: a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo."" ...sounding like me over there lol",0,1,0,1
174,"""<user>: easy cum, easy hoe"" that's a fact !",0,1,0,1
175,"""<user>: charlie sheen is too real <url>"" major fucking respect for charlie sheen.",0,1,0,1
176,"""<user>: wish i had a bae <sym> ""

you got all the hoes tho",0,1,0,1
177,"""<user>: fuck twerking bitch can you cook ?""",0,1,0,1
178,"""<user>: <user> bitch wtf"" <url>",0,1,0,1
179,"""<user>: <sym> <user>: ""<user>: shut up zoe"" fight me pussy<sym>  for zoe? i'm good, man."" you are good ma'am. move along now",1,1,0,1
180,"""<user>: lmao fucking snake bitches"" @ em",0,1,0,1
181,"""<user>: big booty hoes everywhere sheesh <sym> "" damn <sym> <sym> <sym> ",0,1,0,1
182,"""<user>: stay tuned to <user> for an update on the report that <user> 1b <user> will be out 8-10 weeks"" <user> #bum",0,0,1,2
183,"""<user>: <sym> <user>: ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut <url><sym>  yes lmfao""<user>",0,0,1,2
184,"""<user>: oregon chokes every year get off the field trash ass program"" rft",0,1,0,1
185,"""<user>: def not cowboy lol terrell owens was the best eagle &amp; cowboy ever"" ..dude cried like a bitch on tv, over romo",0,1,0,1
186,"""<user>: lmfaoooo i hate black people https://t.co/rnvd2nlcdr"" this is why there's black people and niggers",1,0,0,0
187,"""<user>: <user> <user> how could u do this to me bitch"" potent",0,1,0,1
188,"""<user>: <url>"" a pissed lad past out. i would lick his dirty soles while he slept.",0,1,1,2
189,"""<user>: <url>"" love frat boy w/ soft long soles",0,1,1,2
190,"""<user>: <url>"" sexy lad with hot soles and arches.",0,1,1,2
191,"""<user>: <user> nah fam i gotta cheat with the hoes"" depends on the female i feel",0,1,0,1
192,"""<user>: <user> <sym> <sym> <sym> <sym> <sym> "" i got hicks lol",0,0,1,2
193,"""<user>: this new twitter is confusing the shit out of me."" go back to south america bitch",1,1,0,1
194,"""<user>: toto means ass or vagina?""i think pussy cause toto santi is like nasty pussy",0,1,0,1
195,"""<user>: but what if he actually does choose the ugly bitch over you? <sym> ""her ass must be fat!",0,1,0,1
196,"""<user>: bitch couldn't kill my vibe if ya tried. <sym> <sym> <sym> "" dis why i love miley :*",0,1,0,1
197,"""<user>: i'm tired of bitches saying i look mean.. <sym> "" nigga you big af, wear tight shirts, and grim everybody.",0,1,0,1
198,"""<user>: 10 birds your grandkids may never see, thanks to climate change <url> <url>"" #climate",0,0,1,2
199,"""<user>: ""stay beautiful you bitch""""",0,1,0,1
200,"""<user>: #wutkinda

r purple. ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. but in still shitted on sum gurls",0,1,0,1
201,"""<user>: money getting taller and bitches getting blurry""",0,1,0,1
202,"""<user>: i ain't never seen a bitch so obsessed with they nigga<sym> "" i'm obsessed with mine <sym> ",1,1,0,1
203,"""<user>: kobe stay talking trash. but let's not forget <url>"" <user> i meant to do this one. smh.",0,1,1,1
204,"""<user>: ""at least i'm not a nigger"" <url>""

lmfao",1,1,0,0
205,"""<user>: people always asking me what i'm mixed with."" she a bad asian bitch lol",0,1,0,1
206,"""<user>: <user> ariza is a snake and a coward"" but at least he isn't a cripple like your hero roach lmaoo",1,1,0,0
207,"""<user>: <sym> <user>: fosters home for imaginary trash<sym>  whoa chill""

that show was everything tf",0,1,1,2
208,"""<user>: i am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",0,1,1,1
209,"""<user>: <sym> <user>: stop bringing weird niggers into my mentions! <user><sym>  <url>""",0,1,0,1
210,"""<user>: we don't love these hoes <sym> <sym> """,0,1,0,1
211,"""<user>: if yo girl cant have homeboys you a ol weak bitch ass nigga!""",0,1,0,1
212,"""<user>: <user> i think worst advice i gave you was "" don't be a pussy and speed up"" lol""",0,1,0,1
213,"""<user>: quote this tweet with your favorite animal.""pussy",0,1,0,1
214,"""<user>: i hate when strippers tell you they're ""dancers"". hoe, ballet dancers don't pop their pussy to beethoven. you a stripper!""",0,1,0,1
215,"""<user>: andrewbryant: poff has double vision after 2 beers
poff: ... double pussy <sym> "" smh",0,1,0,1
216,"""<user>: when bitches twerk on the computer....

me: ""in ya <sym> , in ya damn <sym> <sym> <sym> """"",0,1,0,1
217,"""<user>: <sym> <user>: <sym> <user>: <user> prince, this is art. <url><sym>  nobody takin his bitch!",0,1,0,1
218,"""<user>: 61% of welfare/government aid is claimed by white people. so y'all black slander is trash now.""",0,1,1,2
219,"""<user>: these bitches don't care they just play that role.""",0,1,0,1
220,"""<user>: it took a while for you to find me, but i was hiding in the lime tree.""
<user> dis bitch in da wrong tree bro.",0,1,0,1
221,"""<user>: drakes new shoes that will be released by nike/jordan.... yes, there's glitter on the shoes <url>"" ....dudes a fag",1,1,1,0
222,"""<user>: <user> inna di ghetto!!!"" you alone lmaoo",0,1,1,2
223,"""<user>: <sym> <user>: <user> <user> hoes austin<sym>  teach us austin.""i teach u how to get curved? that's all i know",0,1,1,2
224,"""<user>: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",1,1,0,1
225,"""<user>: fat hoes get chose"" lol",0,1,0,1
226,"""<user>: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",0,1,0,1
227,"""<user>: <user> <user> ol bitch ass"" <url>",0,1,0,1
228,"""<user>: bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad"" lmaooo",1,1,0,1
229,"""<user>: just because tony romo at the mavs game dont mean he still not a bitch lmao.. fuk them cowgirls"" lol bitch fuck you",0,1,0,1
230,"""<user> : holy shit, freddie highmore was in charlie and the chocolate factory""
me: *rolls on the floor, laughing*",0,1,0,1
231,"""<user>: ""i don't want to have sex with my gf because i feel like i'm using her.."" - anonymous"" whata faggot",1,1,0,1
232,"""<user>: @ one of your followers with this <sym> <sym>  <url>"" @ somebody, bitch if you don't",0,1,0,1
233,"""<user>: if ya bitch always bitching clearly she care!"" or just an annoying bitch!",0,1,0,1
234,"""<user>: these catfish hoes thinkin they slick.. but niggas catching on <sym> """,0,1,0,1
235,"""<user>: can't worry about a bitch that ain't worried bout me"" #real",0,1,0,1
236,"""<user>: side hoes are for insecure niggas that can't handle a real one.""",0,1,0,1
237,"""<user>: <sym> <sym> <sym> <sym> lmao! this bitch come scooting in the tent like she about to fuck some shit up!"" <sym> <sym> <sym> ",0,1,0,1
238,"""<user>: my cousin said he share hoes with his brothers. he said sharing is caring and he love his brothers <sym> """,0,1,0,1
239,"""<user>: i'm hungry but ionn wanna spend my money on food<sym> ""broke hoe problems <sym> <sym> <sym> <sym> ",0,1,0,1
240,"""<user>: dese hoes be lyin to all of us nigga""",0,1,0,1
241,"""<user>: <url>"" oh yeah fuck that bitch",0,1,0,1
242,"""<user>: eli manning just threw his nfl-leading 27th interception of the season."" lmao trash",0,1,1,2
243,"""<user>: usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team. <sym>  <url>"" he's a bitch",0,1,1,2
244,"""<user>: guess what? i also have zero time for your mansplaining! adios!"" stfu pussy",0,1,0,1
245,"""<user>: chilling <sym> <sym>  <url>"" sexy scally lad",0,1,1,2
246,"""<user>: i ain't sharing no bitch if you mines you mines <sym> """,0,1,0,1
247,"""<user>: money only impress the simple broke bitches""",0,1,0,1
248,"""<user>: #pisces will never be anybody's bitch, they don't let people control or change them."" rigghhht",0,1,1,1
250,"""<user>: <user> <user> tuku ho idk blah blah blah"" <sym> <sym> <sym> ",0,1,1,2
251,"""<user>: <user> <user> i'm not mad cuh hahaha"" suure.. tuku ho ita! <sym> <sym> ",0,1,1,2
252,"""<user>: these hoes is crazy""",0,1,0,1
253,"""<user>: you ain't ever gonna be a slice bitch."" kevin hart. (:",0,1,0,1
254,"""<user>: oomf so fuckin fine tho <sym>  dam"" @ her, don't be no bitch.",0,1,0,1
255,"""<user>: i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",1,1,0,1
256,"""<user>: #newsatquestions
yeah bitch, yeah bitch, call me _______:
a.) maybe
b.) steve-o
c.) later
d.) jesse pinkman""
<user>",0,1,0,1
257,"""<user>: hickies in between her thighs right by her pussy &gt;&gt;&gt;"" its only right",0,1,0,1
258,"""<user>: would you still love me when i'm no longer young and beautiful?"" no. ugly monkey ass.",0,1,0,1
259,"""<user>: <user> <user> y'all come through the front.""bitch i ain't coming",1,1,0,1
260,"""<user>: <user> faggot bitch"" <url>",1,1,0,1
261,"""<user>: <user> yea, i'm on my ipad. i don't work this friday. let's ball this faggot up <user>""i work 2-5",0,1,0,1
262,"""<user>: <url>"" this scally lad would get it",0,1,1,2
263,"""<user>: #gerryshalloweenparty <url>"" halloween was yesterday stupid nigger",1,1,0,0
264,"""<user>: chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* <url>",0,1,1,1
265,"""<user>: <sym> <user>: i love eating pussy lol i never get full lol<sym>  i can eat that shit forever lol"" and ever.",0,1,0,1
266,"""<user>: <sym> <user>: ""<user>: <sym> <user>: no slushes <sym> <sym> hoes nasty anyway fam""<sym> <sym> them hoes taste like meds""<sym> <sym> <sym> ",0,1,0,1
267,"""<user>: <sym> <user>: no slushes <sym> <sym> hoes nasty anyway fam""<sym> ",0,1,1,1
268,"""<user>: bobby bitch-by <user> be getting me live as fuck"" hell yea i play that hoe before my workout",1,1,0,1
269,"""<user>: yo bitch is gucci mane rt <user> : my bitch a stoner <sym> <sym>  <url>""<sym> <sym> <sym> <sym> <sym> <sym> ",0,1,0,1
270,"""<user>: i can ride your bitch with no handle bars""",0,1,0,1
271,"""<user>: and if you ain't a hoe get up out my traphoussseeeee""",0,1,0,1
272,"""<user>: 15 sad tv character deaths we're still bitter over... <url> <url>""ned stark was the man",0,0,1,2
273,"""<user>: these harbor bitches are all ""party bus hoes"""" lol all?",0,1,0,1
274,"""<user>: <user> pussy"" love it",0,1,0,1
275,"""<user>: ultraviolence video, its coming you little bitch! #mtvhottest lana del rey <url>"" 

bitchy promo",0,1,0,1
276,"""<user>: on my way to fuck your bitch https://t.co/4lmtfnl2iy""

lmfao kittycopter",0,1,0,1
277,"""<user>: a smuggler explains how he helped fighters along the ""jihadi highway"": <url>""",0,0,1,2
278,"""<user>: ""<user>: aww their avis look so cute together <sym>  <url>"" <sym> <sym> <sym> "" do i gotta get ike avi on this bitch ?",0,1,0,1
279,"""<user>: ""<user>: its simple, dont be a hoe=dont worry about being exposed <sym> "" fight me""why ?",0,1,0,1
280,"""<user>: whys this bitch boosting herself <url>""

her size isn't exactly the most healthy tho",0,1,0,1
281,"""<user>: <user> bet not be no bitches! <sym> <sym> <sym> <sym> <sym> "" <sym> <sym>  kim bye!!!",0,1,0,1
283,"""<user>: damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. drive these bitches loco",0,1,0,1
284,"""<user>: i'm making marack my girlfriend ."" <user> aye b you pullin hoes just like o taught you",0,1,0,1
285,"""<user>: bruno fag boy"" you love me.",1,1,0,1
286,"""<user>: <sym> <user>: i must be a bitch<sym>  you are <sym> <sym> <sym>  sike naw"" this why we always beefing <sym> ",0,1,0,1
287,"""<user>: down 6-1, #yankees look to rally in the bottom of the 9th."" #rallycap",0,0,1,2
288,"""<user>: <sym> <user>: don't take advantage of a nice person<sym> @ hoes""@ everyjuan",0,1,0,1
289,"""<user>: happy birthday bitch nigga <user>"" thanks pal",1,1,0,1
290,"""<user>: sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",0,1,0,1
291,"""<user>: <user> cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",0,1,0,1
292,"""<user>: <user> ewww i said that last sunday..as in the last sunday i was there. read it again nigs""<sym> <sym> <sym> <sym> <sym> ",0,1,0,1
293,"""<user>: i only punch real niggas in the face cause a pussy nigga is gonna punch me right back"" strong mush or shake..",1,1,0,1
294,"""<user> my pussy still fresh"" &lt;----- something stank girls say.",0,1,0,1
295,"""<user>: ass slapping is one the greatest things. haha. <sym> "" i slapped a girl on the ass. . she got mad i aint get pussy for a week",0,1,0,1
